year,sex,name,n,prop
1880,F,abc,636,0.006516126
1880,F,Amanda,241,0.002469161
1880,F,Betty,117,0.001198721
1880,F,Dorothy,112,0.001147494
1880,F,Linda,27,0.000276628
1880,F,Deborah,12,0.000122946
1880,F,Jessica,7,7.17E-05
1881,F,abc,612,0.006190886
1881,F,Amanda,263,0.002660462
1881,F,Betty,112,0.001132973
1881,F,Dorothy,109,0.001102625
1881,F,Linda,38,0.000384401
1881,F,Deborah,14,0.000141622
1881,F,Jessica,7,7.08E-05
1882,F,abc,838,0.00724312
1882,F,Amanda,288,0.002489282
1882,F,Betty,123,0.001063131
1882,F,Dorothy,115,0.000993984
1882,F,Linda,36,0.00031116
1882,F,Deborah,15,0.00012965
1882,F,Jessica,8,6.91E-05
1883,F,abc,862,0.007179803
1883,F,Amanda,287,0.002390491
1883,F,Dorothy,141,0.001174423
1883,F,Betty,120,0.000999509
1883,F,Linda,49,0.000408133
1883,F,Deborah,16,0.000133268
1883,F,Jessica,6,5.00E-05
1884,F,abc,986,0.007166427
1884,F,Amanda,337,0.002449377
1884,F,Dorothy,163,0.001184714
1884,F,Betty,144,0.001046618
1884,F,Linda,33,0.00023985
1884,F,Jessica,14,0.000101755
1884,F,Deborah,13,9.45E-05
1884,F,Patricia,6,4.36E-05
1885,F,abc,1134,0.007988785
1885,F,Amanda,339,0.002388182
1885,F,Dorothy,196,0.001380778
1885,F,Betty,155,0.001091941
1885,F,Linda,60,0.000422687
1885,F,Deborah,10,7.04E-05
1885,F,Jessica,6,4.23E-05
1885,F,Patricia,5,3.52E-05
1886,F,abc,1267,0.008241401
1886,F,Amanda,370,0.002406723
1886,F,Dorothy,230,0.001496071
1886,F,Betty,167,0.001086278
1886,F,Linda,49,0.000318728
1886,F,Jessica,11,7.16E-05
1886,F,Deborah,10,6.50E-05
1886,F,Patricia,8,5.20E-05
1887,F,abc,1405,0.009039904
1887,F,Amanda,338,0.002174724
1887,F,Dorothy,272,0.001750074
1887,F,Betty,178,0.001145269
1887,F,Linda,50,0.000321705
1887,F,Deborah,15,9.65E-05
1887,F,Patricia,10,6.43E-05
1887,F,Jessica,8,5.15E-05
1888,F,abc,1847,0.009749429
1888,F,Amanda,404,0.002132523
1888,F,Dorothy,373,0.001968888
1888,F,Betty,214,0.001129604
1888,F,Linda,77,0.000406446
1888,F,Deborah,26,0.000137242
1888,F,Jessica,18,9.50E-05
1888,F,Patricia,12,6.33E-05
1889,F,abc,1909,0.010088839
1889,F,Amanda,413,0.002182656
1889,F,Dorothy,377,0.0019924
1889,F,Betty,189,0.000998843
1889,F,Linda,74,0.000391081
1889,F,Patricia,17,8.98E-05
1889,F,Deborah,12,6.34E-05
1889,F,Jessica,9,4.76E-05
1890,F,abc,2312,0.011464785
1890,F,Dorothy,458,0.002271138
1890,F,Amanda,392,0.001943856
1890,F,Betty,216,0.001071104
1890,F,Linda,54,0.000267776
1890,F,Deborah,24,0.000119012
1890,F,Jessica,18,8.93E-05
1890,F,Patricia,11,5.45E-05
1891,F,abc,2417,0.012296062
1891,F,Dorothy,566,0.002879425
1891,F,Amanda,371,0.001887397
1891,F,Betty,239,0.00121587
1891,F,Linda,78,0.000396811
1891,F,Deborah,15,7.63E-05
1891,F,Jessica,14,7.12E-05
1891,F,Patricia,12,6.10E-05
1892,F,abc,2936,0.01305382
1892,F,Dorothy,626,0.002783274
1892,F,Amanda,455,0.002022986
1892,F,Betty,255,0.001133762
1892,F,Linda,83,0.000369028
1892,F,Patricia,21,9.34E-05
1892,F,Deborah,16,7.11E-05
1892,F,Jessica,14,6.22E-05
1893,F,abc,3249,0.014425126
1893,F,Dorothy,821,0.00364513
1893,F,Amanda,387,0.001718228
1893,F,Betty,298,0.00132308
1893,F,Linda,82,0.000364069
1893,F,Patricia,28,0.000124316
1893,F,Deborah,24,0.000106557
1893,F,Jessica,15,6.66E-05
1894,F,abc,3676,0.015578119
1894,F,Dorothy,1052,0.004458156
1894,F,Amanda,418,0.001771397
1894,F,Betty,298,0.001262862
1894,F,Linda,94,0.000398352
1894,F,Patricia,36,0.00015256
1894,F,Deborah,18,7.63E-05
1894,F,Jessica,10,4.24E-05
1895,F,abc,4023,0.016280397
1895,F,Dorothy,1127,0.004560777
1895,F,Amanda,431,0.001744184
1895,F,Betty,350,0.00141639
1895,F,Linda,96,0.000388496
